cpu_usage_percent,ram_usage_percent,active_jobs,idle_time_minutes,power_consumption_watts,utilization_score,monthly_cost_usd,recommendation
27.9,33.7,2,662,160,30.8,81.1,Sleep Mode
20.0,24.1,0,532,144,22.0,59.74,Shutdown
50.9,50.2,6,424,251,50.6,128.85,Keep Running
80.2,67.0,7,251,336,73.6,188.11,Keep Running
28.1,38.2,3,644,167,33.2,84.68,Sleep Mode
20.1,25.8,0,684,138,23.0,61.4,Sleep Mode
11.3,14.7,1,687,95,13.0,36.41,Shutdown
50.6,67.3,6,356,259,58.9,150.15,Keep Running
79.6,69.5,3,373,360,74.6,195.83,Keep Running
30.5,11.9,3,778,189,21.2,57.41,Sleep Mode
38.4,33.2,3,565,226,35.8,94.25,Sleep Mode
61.3,73.7,4,552,280,67.5,167.3,Keep Running
76.6,54.8,8,113,332,65.7,170.35,Keep Running
56.4,55.2,6,393,269,55.8,152.72,Keep Running
29.9,73.2,3,626,170,51.6,127.35,Sleep Mode
21.4,38.9,5,567,150,30.2,83.17,Sleep Mode
29.2,33.0,2,460,138,31.1,86.11,Sleep Mode
53.1,72.3,7,294,266,62.7,156.66,Keep Running
97.5,69.9,6,145,420,83.7,224.42,Keep Running
15.3,44.7,0,460,125,30.0,74.99,Sleep Mode
1.0,21.3,1,1009,75,11.1,35.43,Shutdown
81.1,66.8,9,267,336,73.9,185.43,Keep Running
30.6,32.9,3,532,208,31.8,82.1,Sleep Mode
40.0,73.4,2,693,194,56.7,136.24,Sleep Mode
50.6,78.1,2,317,234,64.4,152.98,Keep Running
73.3,75.4,8,376,305,74.4,185.38,Keep Running
80.7,76.9,9,311,339,78.8,193.61,Keep Running
25.5,35.1,2,660,151,30.3,72.12,Sleep Mode
71.5,66.7,5,387,325,69.1,171.09,Keep Running
39.7,78.5,7,392,195,59.1,135.21,Sleep Mode
35.1,18.9,3,401,201,27.0,79.68,Sleep Mode
8.3,46.3,1,582,118,27.3,78.11,Shutdown
45.8,70.4,3,370,245,58.1,146.85,Keep Running
100.0,88.8,7,170,421,94.4,229.21,Keep Running
38.3,61.9,6,773,202,50.1,121.62,Sleep Mode
24.3,53.5,5,693,152,38.9,96.38,Sleep Mode
96.8,86.3,13,0,415,91.6,225.82,Keep Running
39.8,58.8,3,510,178,49.3,124.52,Sleep Mode
43.2,40.0,2,570,204,41.6,119.05,Keep Running
87.0,83.4,9,141,394,85.2,227.81,Keep Running
88.5,73.6,5,345,357,81.1,209.52,Keep Running
59.9,55.0,7,388,307,57.5,153.45,Keep Running
54.2,34.3,3,439,231,44.2,118.57,Keep Running
47.7,44.1,4,352,246,45.9,127.45,Keep Running
43.2,52.7,5,572,233,48.0,132.63,Keep Running
65.7,55.0,11,542,305,60.3,159.46,Keep Running
3.0,12.8,0,853,83,7.9,30.41,Shutdown
3.9,1.0,0,850,67,2.4,13.28,Shutdown
1.0,1.0,0,756,68,1.0,10.0,Shutdown
32.7,27.1,5,685,204,29.9,84.03,Sleep Mode
30.6,20.6,3,627,193,25.6,64.29,Sleep Mode
83.4,82.1,12,394,358,82.8,206.19,Keep Running
92.9,81.2,11,92,425,87.1,230.44,Keep Running
11.0,19.2,3,617,99,15.1,39.76,Shutdown
3.4,18.5,0,841,75,11.0,27.78,Shutdown
69.1,74.4,9,411,305,71.7,172.31,Keep Running
34.1,13.4,4,538,193,23.7,75.78,Sleep Mode
83.8,99.1,9,197,383,91.5,234.1,Keep Running
76.9,88.5,7,253,364,82.7,209.34,Keep Running
40.6,51.0,6,431,220,45.8,119.83,Keep Running
45.6,38.9,6,402,205,42.3,119.08,Keep Running
48.4,53.1,5,520,261,50.8,139.17,Keep Running
1.0,1.0,0,927,68,1.0,11.37,Shutdown
66.8,43.5,6,373,298,55.2,147.11,Keep Running
1.7,16.0,0,647,61,8.9,25.59,Shutdown
79.2,81.0,7,142,360,80.1,205.06,Keep Running
68.8,67.5,7,392,308,68.2,181.13,Keep Running
37.0,10.7,5,499,195,23.8,74.85,Sleep Mode
44.3,38.3,5,590,214,41.3,103.89,Keep Running
45.4,68.5,0,506,229,56.9,142.16,Keep Running
24.9,38.4,2,562,162,31.7,85.38,Sleep Mode
54.3,52.8,4,527,259,53.5,133.37,Keep Running
1.0,1.0,1,988,84,1.0,10.0,Shutdown
46.1,62.8,4,535,225,54.5,138.17,Keep Running
1.0,1.0,0,797,72,1.0,14.81,Shutdown
100.0,100.0,10,182,435,100.0,240.32,Keep Running
58.1,30.1,6,187,267,44.1,120.32,Keep Running
70.9,65.7,5,382,319,68.3,180.77,Keep Running
16.6,20.1,1,790,130,18.4,43.2,Shutdown
23.7,9.4,2,712,162,16.6,55.71,Sleep Mode
54.5,53.4,6,285,243,54.0,136.36,Keep Running
40.7,44.1,2,580,195,42.4,109.68,Keep Running
27.5,16.2,4,416,162,21.9,67.55,Sleep Mode
69.2,74.3,6,368,306,71.7,181.09,Keep Running
1.0,33.8,0,845,80,17.4,41.78,Shutdown
80.4,89.6,9,346,361,85.0,225.58,Keep Running
1.0,24.8,0,655,60,12.9,27.46,Shutdown
48.2,59.3,6,548,244,53.7,134.94,Keep Running
64.6,55.4,6,401,308,60.0,165.04,Keep Running
51.3,42.9,5,544,250,47.1,128.42,Keep Running
19.3,8.1,1,649,170,13.7,46.62,Shutdown
13.2,49.0,0,592,126,31.1,85.69,Shutdown
66.2,34.3,5,380,307,50.3,135.43,Keep Running
100.0,100.0,11,0,404,100.0,244.48,Keep Running
5.9,7.6,3,683,83,6.7,26.87,Shutdown
33.5,50.1,1,520,183,41.8,113.97,Sleep Mode
12.9,13.2,0,790,108,13.0,34.36,Shutdown
6.0,24.4,3,965,101,15.2,43.48,Shutdown
46.5,25.0,3,683,258,35.7,104.19,Keep Running
56.6,40.0,4,506,272,48.3,131.2,Keep Running
45.7,42.6,4,605,247,44.1,115.84,Keep Running
52.9,29.4,6,483,255,41.1,108.49,Keep Running
39.1,33.9,8,456,190,36.5,100.1,Sleep Mode
73.3,67.9,8,277,355,70.6,188.45,Keep Running
57.3,61.5,6,367,253,59.4,154.11,Keep Running
35.0,29.7,6,480,188,32.3,89.27,Sleep Mode
38.8,33.3,1,552,186,36.0,91.91,Sleep Mode
60.7,48.6,8,370,260,54.7,142.94,Keep Running
67.5,77.7,8,433,293,72.6,182.67,Keep Running
1.0,1.0,3,872,84,1.0,13.03,Shutdown
56.5,45.0,6,398,279,50.7,140.01,Keep Running
64.9,78.8,7,348,302,71.9,178.65,Keep Running
39.1,52.4,8,410,198,45.7,117.24,Sleep Mode
55.8,58.2,8,428,242,57.0,151.62,Keep Running
54.9,45.8,4,489,267,50.4,130.87,Keep Running
100.0,63.2,9,277,429,81.6,204.33,Keep Running
56.1,71.6,7,412,290,63.9,161.91,Keep Running
54.4,58.0,5,560,263,56.2,149.14,Keep Running
88.8,61.1,10,182,373,75.0,188.45,Keep Running
13.3,32.8,3,716,119,23.0,57.22,Shutdown
26.5,7.1,2,790,114,16.8,47.73,Sleep Mode
31.3,35.3,4,497,149,33.3,87.43,Sleep Mode
33.5,31.8,1,677,188,32.7,86.87,Sleep Mode
54.8,22.0,3,342,273,38.4,101.57,Keep Running
46.2,53.2,3,586,243,49.7,137.76,Keep Running
73.8,66.3,11,242,332,70.1,181.3,Keep Running
26.0,47.6,2,684,146,36.8,89.83,Sleep Mode
38.2,42.9,2,599,217,40.6,114.21,Sleep Mode
42.8,32.8,4,497,212,37.8,102.81,Keep Running
10.8,17.6,0,688,129,14.2,33.39,Shutdown
39.8,37.7,2,461,205,38.7,102.32,Sleep Mode
22.4,8.3,6,320,146,15.3,51.69,Sleep Mode
39.2,53.2,5,571,191,46.2,121.4,Sleep Mode
30.1,40.0,0,728,172,35.0,90.78,Sleep Mode
29.9,10.0,3,686,181,20.0,63.25,Sleep Mode
52.2,54.8,4,513,233,53.5,135.44,Keep Running
100.0,62.5,11,45,405,81.2,216.48,Keep Running
1.0,1.0,0,799,52,1.0,10.0,Shutdown
100.0,69.0,8,237,425,84.5,227.82,Keep Running
31.4,43.6,3,479,170,37.5,90.5,Sleep Mode
68.1,55.1,5,147,321,61.6,161.2,Keep Running
32.4,63.6,10,525,184,48.0,129.24,Sleep Mode
7.2,1.0,0,647,90,4.1,16.21,Shutdown
35.2,30.9,3,471,192,33.1,89.22,Sleep Mode
21.6,8.0,4,715,139,14.8,42.32,Sleep Mode
95.0,100.0,10,143,411,97.5,241.57,Keep Running
46.0,52.2,8,396,231,49.1,122.83,Keep Running
7.1,18.1,0,814,79,12.6,33.55,Shutdown
39.2,47.3,4,397,207,43.3,113.57,Sleep Mode
56.8,63.0,7,452,228,59.9,145.56,Keep Running
26.8,30.3,1,739,130,28.6,65.41,Sleep Mode
31.4,52.1,0,482,182,41.7,107.2,Sleep Mode
99.3,100.0,8,0,424,99.7,255.39,Keep Running
12.9,41.3,0,666,136,27.1,72.01,Shutdown
46.6,54.8,5,469,241,50.7,135.43,Keep Running
1.0,1.0,0,743,90,1.0,10.25,Shutdown
50.2,47.4,7,535,230,48.8,128.82,Keep Running
53.7,85.1,1,626,253,69.4,171.7,Keep Running
86.2,83.5,7,181,359,84.9,212.6,Keep Running
20.8,10.4,1,663,156,15.6,51.27,Sleep Mode
36.4,28.0,8,507,214,32.2,87.97,Sleep Mode
55.6,43.8,3,462,249,49.7,130.69,Keep Running
30.2,29.1,1,586,195,29.7,87.55,Sleep Mode
36.5,30.1,1,531,228,33.3,100.97,Sleep Mode
28.9,5.9,2,594,181,17.4,57.72,Sleep Mode
82.6,65.2,10,117,360,73.9,195.38,Keep Running
72.8,51.2,7,116,331,62.0,172.01,Keep Running
8.6,57.0,2,522,92,32.8,82.51,Shutdown
47.4,61.1,2,480,235,54.3,134.55,Keep Running
1.0,1.0,1,561,94,1.0,26.36,Shutdown
49.6,51.1,3,539,233,50.3,131.91,Keep Running
23.1,8.6,0,745,131,15.9,41.56,Sleep Mode
1.0,13.4,1,778,70,7.2,22.48,Shutdown
56.6,47.5,5,280,271,52.1,132.64,Keep Running
24.5,33.1,0,564,167,28.8,85.7,Sleep Mode
94.7,59.9,8,232,399,77.3,209.03,Keep Running
32.1,37.9,3,661,202,35.0,96.26,Sleep Mode
51.2,70.3,4,597,260,60.7,154.99,Keep Running
34.7,8.0,6,578,187,21.4,71.67,Sleep Mode
71.6,82.6,8,150,336,77.1,190.67,Keep Running
44.3,45.0,1,413,217,44.7,122.29,Keep Running
19.9,34.0,0,536,156,27.0,68.52,Shutdown
54.4,48.8,1,273,254,51.6,125.49,Keep Running
21.5,20.1,3,664,139,20.8,66.27,Sleep Mode
39.9,62.3,7,559,221,51.1,132.89,Sleep Mode
100.0,100.0,8,106,424,100.0,241.53,Keep Running
27.2,38.5,4,516,173,32.9,95.02,Sleep Mode
38.0,36.6,0,651,228,37.3,93.04,Sleep Mode
70.8,55.9,5,222,329,63.3,169.43,Keep Running
4.0,26.1,0,711,87,15.0,35.62,Shutdown
30.4,46.9,5,568,194,38.6,105.63,Sleep Mode
41.9,78.8,2,508,207,60.3,149.55,Keep Running
1.0,1.0,0,818,64,1.0,10.0,Shutdown
20.1,20.6,4,708,146,20.3,61.03,Sleep Mode
44.2,14.4,4,616,223,29.3,82.92,Keep Running
39.6,54.0,2,675,194,46.8,118.54,Sleep Mode
1.0,17.9,1,840,79,9.4,31.61,Shutdown
100.0,100.0,12,128,401,100.0,252.26,Keep Running
28.2,29.5,5,804,170,28.8,82.33,Sleep Mode
12.0,18.1,4,725,99,15.0,39.54,Shutdown
21.7,29.6,2,715,127,25.7,70.04,Sleep Mode
70.9,82.0,6,269,305,76.4,188.25,Keep Running
76.5,84.7,5,274,324,80.6,195.71,Keep Running
34.2,33.2,2,688,183,33.7,83.5,Sleep Mode
46.0,35.3,4,408,224,40.7,108.89,Keep Running
55.4,39.4,5,357,281,47.4,132.43,Keep Running
66.1,83.5,8,165,307,74.8,185.33,Keep Running
46.2,32.9,2,383,241,39.6,107.3,Keep Running
19.6,23.7,0,695,167,21.7,63.49,Shutdown
62.2,35.0,2,567,280,48.6,131.48,Keep Running
40.5,43.8,4,434,217,42.2,108.93,Keep Running
1.0,8.6,0,770,56,4.8,15.0,Shutdown
48.0,77.9,6,276,232,63.0,156.27,Keep Running
24.9,1.6,1,801,147,13.2,44.7,Sleep Mode
24.6,24.9,2,559,139,24.8,66.66,Sleep Mode
83.3,83.3,8,173,361,83.3,211.75,Keep Running
85.1,93.5,11,233,367,89.3,215.86,Keep Running
44.8,68.2,4,272,245,56.5,143.81,Keep Running
72.9,83.0,5,104,314,78.0,200.11,Keep Running
100.0,90.2,10,191,438,95.1,241.73,Keep Running
49.6,65.7,5,614,228,57.6,142.53,Keep Running
42.4,53.7,4,503,205,48.1,118.82,Keep Running
41.0,26.0,8,493,214,33.5,97.57,Keep Running
14.7,34.5,1,612,128,24.6,69.15,Shutdown
1.0,17.9,1,651,77,9.5,30.94,Shutdown
19.3,43.8,3,782,115,31.5,80.34,Shutdown
58.2,46.7,5,468,283,52.4,134.09,Keep Running
50.0,40.8,4,352,245,45.4,120.32,Keep Running
44.5,12.9,2,506,223,28.7,82.54,Keep Running
70.3,45.6,8,394,334,57.9,146.49,Keep Running
84.9,65.3,10,164,341,75.1,187.18,Keep Running
82.2,93.0,7,330,350,87.6,214.36,Keep Running
20.0,16.5,4,683,121,18.3,53.66,Sleep Mode
17.8,39.9,1,804,147,28.8,76.03,Shutdown
23.7,46.3,0,754,139,35.0,91.2,Sleep Mode
1.0,5.0,0,740,67,3.0,10.0,Shutdown
91.7,66.4,11,0,396,79.0,209.2,Keep Running
63.5,73.3,4,243,291,68.4,175.33,Keep Running
91.5,93.0,10,321,386,92.3,227.33,Keep Running
63.1,42.3,4,368,289,52.7,142.33,Keep Running
47.9,57.7,1,566,248,52.8,129.34,Keep Running
29.0,28.1,5,754,187,28.5,88.63,Sleep Mode
55.6,77.3,5,612,269,66.5,159.35,Keep Running
49.3,53.4,8,290,226,51.4,133.45,Keep Running
43.1,29.0,2,432,233,36.1,100.81,Keep Running
57.9,88.0,6,487,276,72.9,181.15,Keep Running
67.2,78.0,10,305,321,72.6,196.75,Keep Running
43.1,34.1,4,442,201,38.6,94.57,Keep Running
61.2,79.3,7,479,280,70.3,169.67,Keep Running
1.0,25.9,1,616,69,13.5,39.29,Shutdown
73.5,69.9,10,246,305,71.7,182.62,Keep Running
47.4,12.0,4,459,210,29.7,93.41,Keep Running
31.2,1.0,5,602,155,16.1,50.97,Sleep Mode
58.7,60.0,7,434,283,59.3,150.55,Keep Running
85.1,89.6,14,174,358,87.4,217.34,Keep Running
37.8,9.7,0,412,190,23.7,71.37,Sleep Mode
63.7,52.3,6,399,328,58.0,151.11,Keep Running
35.2,38.2,6,536,197,36.7,96.7,Sleep Mode
57.4,31.0,4,516,284,44.2,119.68,Keep Running
59.3,48.1,6,347,288,53.7,143.31,Keep Running
25.4,37.2,3,701,147,31.3,82.6,Sleep Mode
37.0,53.0,0,653,209,45.0,105.02,Sleep Mode
88.8,82.7,10,113,386,85.8,217.53,Keep Running
9.8,15.0,0,562,94,12.4,43.36,Shutdown
87.6,72.7,8,30,404,80.2,209.87,Keep Running
10.2,7.9,0,687,152,9.0,36.15,Shutdown
100.0,90.8,10,0,441,95.4,237.84,Keep Running
24.9,40.9,5,773,160,32.9,87.96,Sleep Mode
24.4,23.7,1,661,184,24.1,64.73,Sleep Mode
67.5,53.9,5,390,308,60.7,158.33,Keep Running
68.5,59.5,3,334,301,64.0,162.15,Keep Running
69.1,90.6,9,146,335,79.8,199.44,Keep Running
