job_type,cpu_required,memory_required_gb,estimated_runtime_minutes,priority,current_node_load,available_cpu_cores,available_memory_gb,recommended_node
ETL,16,41,489,High,80,52,217,Node-001
ETL,26,70,570,Medium,90,20,70,Node-002
ETL,31,109,660,Medium,70,41,172,Node-003
ML Training,7,16,373,Medium,81,31,158,Node-004
Analytics,32,86,600,Medium,40,8,24,Node-005
Data Processing,11,37,443,High,79,62,256,Node-006
Data Processing,6,5,313,High,44,35,164,Node-007
Simulation,12,49,355,Critical,33,33,158,Node-008
Simulation,8,22,163,High,29,49,203,Node-009
Data Processing,28,107,843,High,46,14,83,Node-010
Simulation,22,76,579,Low,84,63,246,Node-011
ML Training,11,44,490,Critical,11,24,154,Node-012
Analytics,27,96,768,Medium,94,57,244,Node-013
Analytics,29,78,805,Low,44,56,217,Node-014
ML Training,30,103,920,Medium,37,26,117,Node-015
Data Processing,8,40,168,Medium,40,18,85,Node-016
ML Training,22,74,498,Medium,6,31,128,Node-017
ETL,27,99,1030,High,43,33,163,Node-018
ML Training,16,65,423,Medium,91,52,198,Node-019
Data Processing,31,106,693,Medium,36,15,72,Node-020
Data Processing,6,27,182,Medium,87,38,180,Node-021
ML Training,15,57,256,Critical,58,33,134,Node-022
Data Processing,20,86,457,Critical,32,12,78,Node-023
Data Processing,6,35,220,High,40,57,206,Node-024
Simulation,25,87,677,High,48,30,170,Node-025
Data Processing,15,50,367,High,34,16,65,Node-026
ML Training,2,5,247,Medium,15,56,225,Node-027
ML Training,5,24,352,High,45,30,138,Node-028
ML Training,17,63,604,Medium,41,16,86,Node-029
ML Training,24,61,808,High,47,46,177,Node-030
ML Training,9,39,276,Medium,52,61,244,Node-031
ETL,23,87,509,Medium,60,35,172,Node-032
Simulation,30,99,645,Low,40,53,214,Node-033
Data Processing,27,103,752,Medium,47,41,141,Node-034
ETL,30,105,776,High,79,64,256,Node-035
Simulation,3,25,230,Medium,59,13,69,Node-036
Simulation,18,45,449,High,31,29,115,Node-037
ETL,7,34,290,Low,92,8,91,Node-038
ETL,4,7,10,High,46,24,66,Node-039
ML Training,14,36,338,Medium,74,24,109,Node-040
Analytics,20,54,580,Medium,70,43,177,Node-041
ML Training,22,82,591,Medium,7,49,213,Node-042
Analytics,5,38,200,Critical,24,12,90,Node-043
Simulation,20,56,643,Low,47,52,240,Node-044
ML Training,27,87,776,Medium,20,58,245,Node-045
Simulation,1,7,149,Critical,40,62,238,Node-046
Analytics,32,100,715,Low,63,50,199,Node-047
ML Training,25,80,613,Medium,32,8,53,Node-048
Data Processing,5,28,224,Medium,81,60,251,Node-049
ML Training,18,40,475,Low,78,11,53,Node-050
ML Training,1,16,85,High,30,24,102,Node-051
Simulation,16,79,279,Medium,70,12,102,Node-052
Data Processing,23,71,520,High,28,16,73,Node-053
ML Training,5,6,286,Low,33,60,256,Node-054
Data Processing,1,4,190,Medium,33,38,143,Node-055
Data Processing,32,114,722,Medium,51,40,154,Node-056
Data Processing,14,39,294,Low,68,15,96,Node-057
ML Training,23,92,429,Medium,16,36,153,Node-058
Simulation,14,62,138,High,46,10,48,Node-059
